Level,Salary
7,42700
20,130413
15,84957
11,66167
8,43472
7,35466
19,112341
11,60645
11,65553
4,35187
8,44413
3,34542
2,31931
12,70130
6,45632
2,26228
1,18552
12,64242
12,60903
17,106409
10,51378
16,84621
15,83378
15,78790
19,128200
12,68358
20,133237
3,34930
5,40450
19,125916
7,39551
9,43150
7,38015
18,110773
4,21178
14,84713
18,101516
9,53245
2,30159
20,131425
15,83890
7,43336
12,63640
8,43219
15,81763
3,39879
14,80834
17,103297
4,29622
18,109825
8,41063
4,31544
2,24954
6,46945
10,51215
4,29624
18,104371
12,62143
2,28525
10,54752
4,30773
14,70996
16,86427
15,89648
8,45386
14,82244
8,49901
16,94755
13,66091
18,111947
15,93247
13,70012
9,51953
15,86181
13,79111
1,26861
7,48017
9,48374
1,26779
12,66549
8,47712
11,69807
19,121847
17,103216
8,53980
3,35255
3,29028
1,37029
5,32551
10,51753
7,38007
9,45568
7,43915
9,48960
8,28609
12,64658
2,28410
1,34714
16,91183
5,48946
3,39233
12,64050
8,51748
3,34876
1,31417
3,36263
5,36520
15,87451
14,83116
3,42512
1,31505
5,33981
14,68853
7,52056
9,48933
15,88924
15,95779
10,56138
13,71276
19,127348
7,44553
17,105180
20,122384
4,40029
5,38127
7,35392
13,74675
15,75937
11,71959
4,28490
13,80308
7,38185
19,123051
2,26439
10,59985
13,71073
6,41338
12,66075
12,59171
20,132520
11,57733
7,47476
1,29070
1,29866
20,138414
13,84158
9,54180
3,30814
7,40376
6,34906
8,42873
9,48881
5,46071
1,29263
19,114119
10,55208
12,66890
15,86428
9,54248
20,130345
17,106093
17,98348
20,138903
12,67262
7,44251
2,27077
3,34609
17,105505
5,30401
17,93954
17,103718
17,99806
2,32299
2,24544
5,28447
1,31283
1,28501
19,109696
2,37715
12,59461
6,51866
4,30879
11,62257
17,110484
6,46397
5,46180
20,122384
2,25320
6,40129
11,64448
16,93943
16,85810
1,32732
9,49278
6,37968
16,82610
3,36237
20,130726
4,42975
19,119877
3,35081
19,124409
20,121269
7,55333
20,127846
9,52722
1,33452
8,41926
7,51484
18,112329
8,44932
1,30942
11,64071
18,111053
10,59409
3,23825
7,38510
16,83305
16,103985
20,139919
17,105383
2,25936
1,42199
16,90977
12,64933
5,37047
5,38507
9,53469
9,53669
3,31527
19,123590
16,93053
16,96896
3,34736
20,133814
1,33439
20,127787
11,62543
17,105516
8,39544
4,32629
6,42040
8,54546
20,134124
3,41111
16,92008
3,33500
18,115028
14,67368
18,118554
2,21695
3,37234
16,97434
9,38552
4,22554
1,37412
4,40073
1,25845
14,74590
16,96563
20,129936
8,51271
7,44647
3,40165
17,107100
1,33853
16,92239
12,63873
19,119991
14,88204
6,36968
6,40302
13,61025
19,123629
8,57285
2,26331
1,46122
15,87161
1,17385
5,34322
16,100652
19,130246
4,37590
3,40087
17,96361
17,98848
12,57602
14,75974
6,42809
3,33313
9,54589
5,31567
17,97872
14,80023
3,29236
1,36759
20,126862
1,27773
3,34344
18,109053
10,48825
3,26753
8,48688
14,72206
18,117985
15,82798
2,34081
10,51847
2,26423
17,103480
8,51258
1,29013
9,49922
11,64287
16,98202
7,42057
10,52782
3,32663
18,110045
13,73814
7,36278
4,35385
13,68658
20,134529
1,26887
8,42724
14,81226
16,94071
14,90383
12,57853
19,120799
15,91898
2,28108
2,26447
19,115895
17,94190
20,136748
10,53351
6,36759
15,75629
11,53081
5,43576
1,31765
8,51832
12,71199
12,60996
5,48399
7,51998
4,31181
6,21158
13,70467
20,131191
15,83411
3,31142
8,41856
20,134608
16,94318
13,77007
18,117111
10,44128
19,116397
17,99129
19,133106
5,36995
9,54312
12,56596
1,30966
1,35141
15,90559
2,34116
16,94065
8,46307
13,63783
1,25747
16,95154
7,38670
5,39694
3,34583
12,72836
16,98791
19,121386
5,39989
14,84025
5,33712
15,84603
17,101765
14,76622
20,135078
5,33113
12,72258
16,92165
16,96361
7,43082
4,29120
1,30150
5,37918
10,54678
5,29536
4,42507
2,31438
20,126028
10,63103
19,123336
1,24249
5,31027
13,71138
4,35486
16,97113
16,98750
2,33697
17,108983
20,130633
12,62201
18,110983
3,31905
1,17358
1,27443
19,121821
11,58128
5,33018
12,70556
3,27667
1,33808
1,23586
8,59803
10,53921
11,58633
12,71715
13,70156
12,73274
14,80857
2,30408
19,119124
18,117037
3,33402
17,104411
8,48705
10,55664
2,33599
19,119658
9,50000
7,36654
4,35488
18,102402
13,73667
11,58846
4,35872
4,28755
10,44403
5,34495
9,45020
3,23347
17,106089
3,40256
16,90015
4,33621
18,109461
17,98955
7,45568
5,41300
12,61656
17,102473
13,78672
3,35695
9,54438
17,109089
17,109024
20,135143
16,94724
13,70337
19,120767
17,99577
4,24237
12,64602
9,52037
19,117313
12,65036
9,49479
7,49034
14,77202
20,136783
19,106687
15,92989
16,100487
5,40761
3,22190
12,71094
20,129749
4,21353
16,100490
7,49470
13,62727
10,55877
7,49192
14,85150
5,40430
3,19013
11,63897
11,59159
18,115979
